index,phase,group,label,wgx,wgy,wgz,workgroups,median_ms
28,forward,conv,"conv3 128->128 g128 @32x32",4,128,3,1536,0.0655
29,forward,conv,"conv7 128->128 g128 @32x32",4,128,3,1536,0.5898
30,forward,pw+gelu,"pw+gelu 128->384 @32x32",32,12,3,1152,0.6554
31,forward,pw,"pw 384->128 @32x32",32,4,3,384,1.0486
32,forward,conv,"conv3 128->128 g128 @32x32",4,128,3,1536,0.3932
33,forward,conv,"conv7 128->128 g128 @32x32",4,128,3,1536,0.3932
34,forward,pw+gelu,"pw+gelu 128->384 @32x32",32,12,3,1152,0.4588
35,forward,pw,"pw 384->128 @32x32",32,4,3,384,0.4588
36,forward,conv,"conv3 128->128 g128 @32x32",4,128,3,1536,0.2621
37,forward,conv,"conv7 128->128 g128 @32x32",4,128,3,1536,1.0486
38,forward,pw+gelu,"pw+gelu 128->384 @32x32",32,12,3,1152,0.4588
39,forward,pw,"pw 384->128 @32x32",32,4,3,384,0.4588
40,forward,conv,"conv7 128->256 g128 @16x16",1,256,3,768,0.3932
41,forward,se,"se c256 mid64 @16x16",1,1,3,3,0.2621
42,forward,gelu,"gelu n65536",256,1,3,768,0.0000
43,forward,pw+gelu,"pw+gelu 256->256 @16x16",8,8,3,192,0.3932
44,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0000
45,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.1966
46,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,0.4588
47,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.9175
48,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
49,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.1966
50,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,0.6554
51,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.5898
52,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
53,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.7864
54,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,0.4588
55,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.4588
56,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0000
57,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.5898
58,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,1.0486
59,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.5243
60,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
61,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.2621
62,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,0.8520
63,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.9830
64,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0000
65,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.2621
66,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,0.8520
67,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.9175
68,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0000
69,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.1966
70,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,0.4588
71,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.6554
72,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.1311
73,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.3932
74,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,1.3763
75,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.4588
76,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
77,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.3932
78,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,0.9175
79,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.5243
80,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
81,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.3932
82,forward,pw+gelu,"pw+gelu rect8x16 256->768 @16x16",8,12,3,288,0.8520
83,forward,pw,"pw rect8x16 768->256 @16x16",8,4,3,96,0.9175
84,forward,conv,"conv7 256->512 g256 @8x8",1,512,3,1536,0.1311
85,forward,se,"se c512 mid128 @8x8",1,1,3,3,0.1311
86,forward,gelu,"gelu n32768",128,1,3,384,0.0655
87,forward,pw+gelu,"pw+gelu 512->512 @8x8",2,16,3,96,0.3932
88,forward,conv,"conv7 512->512 g512 @8x8",1,512,3,1536,0.5898
89,forward,pw,"pw 512->1536 @8x8",2,48,3,288,0.9830
90,forward,attn.core,"attn.core h16 n64",16,1,3,48,0.1966
91,forward,pw,"pw 512->512 @8x8",2,16,3,96,0.1966
92,forward,conv,"conv7 512->512 g512 @8x8",1,512,3,1536,0.3277
93,forward,pw+gelu,"pw+gelu 512->1536 @8x8",2,48,3,288,0.8520
94,forward,pw,"pw 1536->512 @8x8",2,16,3,96,1.0486
95,forward,pw,"pw 512->1536 @8x8",2,48,3,288,0.9830
96,forward,attn.core,"attn.core h16 n64",16,1,3,48,0.0655
97,forward,pw,"pw 512->512 @8x8",2,16,3,96,0.1966
98,forward,conv,"conv7 512->512 g512 @8x8",1,512,3,1536,0.9175
99,forward,pw+gelu,"pw+gelu 512->1536 @8x8",2,48,3,288,0.8520
100,forward,pw,"pw 1536->512 @8x8",2,16,3,96,0.9175
101,forward,conv,"conv3 512->1024 g512 @8x8",1,1024,3,3072,0.0655
102,forward,se,"se c1024 mid64 @8x8",1,1,3,3,0.2621
103,forward,gelu,"gelu n65536",256,1,3,768,0.0000
104,forward,head,"head 1024->512",1,1,3,3,0.5898
105,backward,loss_bwd,"loss_bwd -cos dim512",1,1,3,3,0.0000
106,backward,head_bwd,"head_bwd 512->1024",1,1,3,3,0.6554
107,backward,gelu_bwd,"gelu_bwd n65536",256,1,3,768,0.0655
108,backward,se_bwd,"se_bwd c1024 mid64 @8x8",1,1,3,3,0.7864
109,backward,spatial_bwd,"spatial_bwd k3s1 512<-1024 g512 @8x8",1,512,3,1536,0.1311
110,backward,residual_bwd,"residual_bwd n32768",128,1,3,384,0.0000
111,backward,pw_bwd,"pw_bwd 512->1536 @8x8",2,48,3,288,0.7864
112,backward,gelu_bwd,"gelu_bwd n98304",384,1,3,1152,0.0655
113,backward,pw_bwd,"pw_bwd 1536->512 @8x8",2,16,3,96,0.9175
114,backward,spatial_bwd,"spatial_bwd k7s1 512<-512 g512 @8x8 +=",1,512,3,1536,0.3932
115,backward,residual_bwd,"residual_bwd n32768",128,1,3,384,0.0655
116,backward,pw_bwd,"pw_bwd 512->512 @8x8",2,16,3,96,0.3932
117,backward,attn_core_bwd,"attn_core_bwd h16 n64",16,1,3,48,2.4904
118,backward,pw_bwd,"pw_bwd 1536->512 @8x8 +=",2,16,3,96,1.0486
119,backward,residual_bwd,"residual_bwd n32768",128,1,3,384,0.0655
120,backward,pw_bwd,"pw_bwd 512->1536 @8x8",2,48,3,288,0.7864
121,backward,gelu_bwd,"gelu_bwd n98304",384,1,3,1152,0.0655
122,backward,pw_bwd,"pw_bwd 1536->512 @8x8",2,16,3,96,0.8520
123,backward,spatial_bwd,"spatial_bwd k7s1 512<-512 g512 @8x8 +=",1,512,3,1536,0.3277
124,backward,residual_bwd,"residual_bwd n32768",128,1,3,384,0.0000
125,backward,pw_bwd,"pw_bwd 512->512 @8x8",2,16,3,96,0.3932
126,backward,attn_core_bwd,"attn_core_bwd h16 n64",16,1,3,48,2.4248
127,backward,pw_bwd,"pw_bwd 1536->512 @8x8 +=",2,16,3,96,1.0486
128,backward,spatial_bwd,"spatial_bwd k7s1 512<-512 g512 @8x8",1,512,3,1536,0.3277
129,backward,gelu_bwd,"gelu_bwd n32768",128,1,3,384,0.0655
130,backward,pw_bwd,"pw_bwd 512->512 @8x8",2,16,3,96,0.3932
131,backward,gelu_bwd,"gelu_bwd n32768",128,1,3,384,0.0000
132,backward,se_bwd,"se_bwd c512 mid128 @8x8",1,1,3,3,0.4588
133,backward,spatial_bwd,"spatial_bwd k7s2 256<-512 g256 @16x16",4,256,3,3072,1.1796
134,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
135,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.7864
136,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.0655
137,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,1.1141
138,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.6554
139,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.1311
140,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
141,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,1.5729
142,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.2621
143,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.4588
144,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.1966
145,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
146,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
147,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.2621
148,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.0655
149,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.2621
150,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.2621
151,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
152,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
153,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.2621
154,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.0655
155,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.3277
156,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.1966
157,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0000
158,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
159,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.3277
160,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.0655
161,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.3277
162,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.1966
163,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
164,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0655
165,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.2621
166,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.0655
167,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.3277
168,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.1966
169,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
170,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
171,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.3277
172,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.1311
173,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.3932
174,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.1966
175,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
176,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
177,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.3277
178,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.0655
179,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.3277
180,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.2621
181,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
182,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
183,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.3277
184,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.0655
185,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.2621
186,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.2621
187,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
188,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
189,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.2621
190,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.0655
191,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.3277
192,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.2621
193,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
194,backward,gelu_bwd,"gelu_bwd n65536",256,1,3,768,0.0000
195,backward,pw_bwd,"pw_bwd 256->256 @16x16",8,8,3,192,0.1311
196,backward,gelu_bwd,"gelu_bwd n65536",256,1,3,768,0.0000
197,backward,se_bwd,"se_bwd c256 mid64 @16x16",1,1,3,3,0.1311
198,backward,spatial_bwd,"spatial_bwd k7s2 128<-256 g128 @32x32",16,128,3,6144,0.9175
199,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.0000
200,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.3932
201,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.1966
202,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.3932
203,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,0.4588
204,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.0655
205,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.0000
206,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.2621
207,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.1311
208,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.3277
209,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,0.3932
210,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1311
211,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.0000
212,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.3277
213,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.1311
214,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.2621
215,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,0.3932
216,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.0655
217,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.0655
218,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.3277
219,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.1966
220,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.3277
221,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,0.4588
222,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1311
223,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.0000
224,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.3277
225,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.1966
226,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.3277
227,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,0.4588
228,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1966
229,backward,residual_bwd,"residual_bwd n131072",512,1,3,1536,0.0655
230,backward,pw_bwd,"pw_bwd 128->384 @32x32",32,12,3,1152,0.3277
231,backward,gelu_bwd,"gelu_bwd n393216",1536,1,3,4608,0.1966
232,backward,pw_bwd,"pw_bwd 384->128 @32x32",32,4,3,384,0.3277
233,backward,spatial_bwd,"spatial_bwd k7s1 128<-128 g128 @32x32 +=",16,128,3,6144,0.7209
234,backward,spatial_bwd,"spatial_bwd k3s1 128<-128 g128 @32x32",16,128,3,6144,0.1311
235,backward,gelu_bwd,"gelu_bwd n131072",512,1,3,1536,0.0655
236,backward,pw_bwd,"pw_bwd 128->128 @32x32",32,4,3,384,0.1311
237,backward,gelu_bwd,"gelu_bwd n131072",512,1,3,1536,0.0000
238,backward,spatial_bwd,"spatial_bwd k7s2 64<-128 g64 @64x64",64,64,3,12288,1.0486
239,backward,residual_bwd,"residual_bwd n262144",1024,1,3,3072,0.0655
240,backward,pw_bwd,"pw_bwd 64->192 @64x64",128,6,3,2304,0.3277
241,backward,gelu_bwd,"gelu_bwd n786432",3072,1,3,9216,0.3932
