index,phase,group,label,wgx,wgy,wgz,workgroups,median_ms
83,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.5243
84,forward,conv,"conv7 256->512 g256 @8x8",1,512,3,1536,0.3277
85,forward,se,"se c512 mid128 @8x8",1,1,3,3,0.1966
86,forward,gelu,"gelu n32768",128,1,3,384,0.0655
87,forward,pw+gelu,"pw+gelu 512->512 @8x8",2,16,3,96,0.1966
88,forward,conv,"conv7 512->512 g512 @8x8",1,512,3,1536,0.1966
89,forward,pw,"pw 512->1536 @8x8",2,48,3,288,1.5073
90,forward,attn.core,"attn.core h16 n64",16,1,3,48,0.1311
91,forward,pw,"pw 512->512 @8x8",2,16,3,96,0.3932
92,forward,conv,"conv7 512->512 g512 @8x8",1,512,3,1536,0.3932
93,forward,pw+gelu,"pw+gelu 512->1536 @8x8",2,48,3,288,1.0486
94,forward,pw,"pw 1536->512 @8x8",2,16,3,96,1.1141
95,forward,pw,"pw 512->1536 @8x8",2,48,3,288,0.9175
96,forward,attn.core,"attn.core h16 n64",16,1,3,48,0.1966
97,forward,pw,"pw 512->512 @8x8",2,16,3,96,0.3277
98,forward,conv,"conv7 512->512 g512 @8x8",1,512,3,1536,0.3277
99,forward,pw+gelu,"pw+gelu 512->1536 @8x8",2,48,3,288,0.9830
100,forward,pw,"pw 1536->512 @8x8",2,16,3,96,0.9175
101,forward,conv,"conv3 512->1024 g512 @8x8",1,1024,3,3072,0.0000
102,forward,se,"se c1024 mid64 @8x8",1,1,3,3,0.3932
103,forward,gelu,"gelu n65536",256,1,3,768,0.0655
104,forward,head,"head 1024->512",1,1,3,3,0.7209
105,backward,loss_bwd,"loss_bwd -cos dim512",1,1,3,3,0.0655
106,backward,head_bwd,"head_bwd 512->1024",1,1,3,3,0.3932
107,backward,gelu_bwd,"gelu_bwd n65536",256,1,3,768,0.0655
108,backward,se_bwd,"se_bwd c1024 mid64 @8x8",1,1,3,3,0.8520
109,backward,spatial_bwd,"spatial_bwd k3s1 512<-1024 g512 @8x8",1,512,3,1536,0.1311
110,backward,residual_bwd,"residual_bwd n32768",128,1,3,384,0.0000
111,backward,pw_bwd,"pw_bwd 512->1536 @8x8",2,48,3,288,0.5243
112,backward,gelu_bwd,"gelu_bwd n98304",384,1,3,1152,0.2621
113,backward,pw_bwd,"pw_bwd 1536->512 @8x8",2,16,3,96,0.5898
114,backward,spatial_bwd,"spatial_bwd k7s1 512<-512 g512 @8x8 +=",1,512,3,1536,0.3277
115,backward,residual_bwd,"residual_bwd n32768",128,1,3,384,0.0655
116,backward,pw_bwd,"pw_bwd 512->512 @8x8",2,16,3,96,0.3932
